molecule_chembl_id,canonical_smiles,inchi_key,pchembl_value,bioactivity_class,group_type,MW,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,violates_mw,violates_logp,violates_hdonors,violates_hacceptors,ro5_violations
CHEMBL5934619,CC(C)(C)CNc1ncnc2c(Br)cc(NC(c3ccc(F)cc3)c3cn(C4CC4)nn3)cc12,QMMYRSWUMOZVFJ-UHFFFAOYSA-N,8.59,active,single_entry,524.4420000000002,6.117300000000005,2.0,7.0,80.55,7.0,True,True,False,False,2
CHEMBL5791250,C=CC(=O)Nc1cc(Nc2nccc(-c3cc4c5c(c3)n(C(C)C)c(=O)n5CCC4)n2)c(OC)cc1N(C)CCN(C)C,QMONESBZALBDEC-UHFFFAOYSA-N,7.6,active,single_entry,584.725,4.6616000000000035,2.0,10.0,109.55000000000001,11.0,True,False,False,False,1
CHEMBL5810106,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C#N)CC4)NN3)c3cccc4ncsc34)cc12,QMONRLGYDDJJFP-SANMLTNESA-N,8.52,active,single_entry,570.1260000000001,6.203160000000005,4.0,10.0,124.72000000000001,7.0,True,True,False,False,2
CHEMBL5781511,CCOc1ccc(C(=O)N[C@@H]2CCCN(c3nnc(C(N)=O)c(Nc4ccc(C(=N)N5CCCC5)cc4)n3)C2)cc1,QMPCZRYAQUSGAU-JOCHJYFZSA-N,5.26,intermediate,single_entry,557.6590000000002,2.9327700000000005,4.0,9.0,162.45,9.0,True,False,False,False,1
CHEMBL5862356,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@H]3CC[C@H](C(=O)N(C)C)CC3)c3ncnc(N)c23)cc1,QMPVOKLNLZCVBG-MEMLXQNLSA-N,6.26,active,single_entry,527.6290000000004,3.8336000000000023,2.0,8.0,128.26,7.0,True,False,False,False,1
CHEMBL5744203,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@H]3CC[C@@H](C(=O)N(C)C)CC3)c3ncnc(N)c23)cc1,QMPVOKLNLZCVBG-OYRHEFFESA-N,5.76,intermediate,nonzero_sd,527.6290000000004,3.8336000000000023,2.0,8.0,128.26,7.0,True,False,False,False,1
CHEMBL4225828,CNC(=O)c1ccc(Sc2cccc(NC(=S)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)nc1,QMRSZKRJQUFALC-UHFFFAOYSA-N,6.22,active,single_entry,496.9670000000001,6.073500000000003,3.0,4.0,66.05000000000001,5.0,False,True,False,False,1
CHEMBL4443413,CCC(=O)N1CC[C@@H](n2c(=O)c(-c3ccccc3Cl)c(C)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,QMSWQUOSJSTBDR-XMMPIXPASA-N,7.09,active,single_entry,600.167,5.407540000000005,1.0,8.0,86.6,6.0,True,True,False,False,2
CHEMBL5943408,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(Cc2c(F)cccc2F)NN1,QMTUEZYCDZNCRG-HKBQPEDESA-N,8.4,active,single_entry,597.6490000000003,6.0764800000000045,4.0,9.0,124.72,8.0,True,True,False,False,2
CHEMBL484108,Nc1nc(Nc2cccc(Br)c2)c2cc(CCc3cccc4ccccc34)[nH]c2n1,QMVUXJFOCASEQU-UHFFFAOYSA-N,5.32,intermediate,single_entry,458.36300000000017,5.984600000000003,3.0,4.0,79.61999999999999,5.0,False,True,False,False,1
CHEMBL5982094,O=C(/C=C/CN1C[C@@H]2OCCO[C@@H]2C1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,QMXMLFJONMTABH-RSOJFYCWSA-N,8.305,active,nonzero_sd,570.021,3.927900000000002,2.0,9.0,107.07000000000001,8.0,True,False,False,False,1
CHEMBL5920717,CCN1CCN([C@@H]2CCCN(c3cnc(C(N)=O)c(Nc4ccc(C5CCN(C6CCCC6)CC5)cc4)n3)C2)C1=O,QMXSHAJJEPUPLY-AREMUKBSSA-N,5.26,intermediate,single_entry,560.7470000000003,4.167400000000002,2.0,7.0,110.92999999999998,8.0,True,False,False,False,1
